21:11:07.705 [main] INFO  com.billhub.qa.base.TestBase - Successfully created a new memo.
21:15:06.019 [main] INFO  com.billhub.qa.base.TestBase - here
21:15:17.256 [main] INFO  com.billhub.qa.base.TestBase - Successfully created a new memo.
10:34:51.277 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
10:35:01.333 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b1f44bdc197b86b75919b99db9da1c1b)] -> xpath: //button[@class='btn btn-link']]
10:35:01.477 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b1f44bdc197b86b75919b99db9da1c1b)] -> xpath: //span[normalize-space()='Master']]
10:35:02.385 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b1f44bdc197b86b75919b99db9da1c1b)] -> link text: Reason]
10:35:02.509 [main] INFO  com.billhub.qa.base.TestBase - Setting cell data in sheet: Reason, row: 1, col: 1, data: test_jortske
10:35:03.442 [main] INFO  com.billhub.qa.base.TestBase - Setting cell data in sheet: Reason, row: 3, col: 1, data: test_updated_fagsp
10:35:03.567 [main] INFO  com.billhub.qa.base.TestBase - Setting cell data in sheet: Reason, row: 1, col: 0, data: testcode_yjbz
10:35:03.790 [main] INFO  com.billhub.qa.base.TestBase - Waiting for toast to disappear
10:35:04.551 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: Reason Added successfully
10:35:04.590 [main] INFO  com.billhub.qa.base.TestBase - Waiting for toast to disappear
10:35:08.338 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: Reason Added successfully
10:35:18.373 [main] ERROR com.billhub.qa.base.TestBase - TimeoutException: Success toast not displayed for message - Reason Added successfully
10:35:18.377 [main] INFO  com.billhub.qa.base.TestBase - Waiting for toast to disappear
10:35:18.766 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: Reason Added successfully
10:35:28.798 [main] ERROR com.billhub.qa.base.TestBase - TimeoutException: Success toast not displayed for message - Reason Added successfully
10:35:28.802 [main] INFO  com.billhub.qa.base.TestBase - Waiting for toast to disappear
10:35:29.538 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: Reason Added successfully
10:35:29.758 [main] INFO  com.billhub.qa.base.TestBase - Waiting for toast to disappear
10:35:33.546 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: /html/body/modal-container/div/div/app-add-edit-reason/div[2]/div/div/form/div/div[2]/input
10:35:34.112 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: //*[@id="type"]
10:35:34.384 [main] INFO  com.billhub.qa.base.TestBase - Checking if success toast is displayed for message: Reason updated successfully
12:42:09.519 [main] INFO  com.billhub.qa.base.TestBase - here
12:42:09.523 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
12:42:19.575 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (89e85b21d90db48ff046ae1fda34ba5e)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
12:42:19.836 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (89e85b21d90db48ff046ae1fda34ba5e)] -> xpath: //span[normalize-space()='Create Memo']]
12:42:20.761 [main] INFO  com.billhub.qa.base.TestBase - Successfully created a new memo.
12:47:10.641 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
12:47:20.706 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a4bf4778e9f044cc115f0708b3d49b4a)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
12:48:26.915 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
12:48:44.326 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-primary ng-star-inserted']'
12:48:58.503 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
