15:09:52.358 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:11:54.971 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:12:10.005 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (e168b2ae6d7c4a1124112bb604c84d7d)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
15:12:10.324 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (e168b2ae6d7c4a1124112bb604c84d7d)] -> xpath: //span[normalize-space()='Create Memo']]
15:12:13.590 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:12:28.860 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:12:44.621 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:12:59.970 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:13:14.992 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (e168b2ae6d7c4a1124112bb604c84d7d)] -> xpath: //button[normalize-space()='Done']]
15:13:15.109 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:13:30.228 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:13:45.266 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (e168b2ae6d7c4a1124112bb604c84d7d)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr/td[1]/div/input]
15:13:45.784 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (e168b2ae6d7c4a1124112bb604c84d7d)] -> xpath: //button[normalize-space()='SAVE']]
15:13:46.593 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:14:01.688 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:14:16.861 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: //button[@type='submit']
15:14:16.926 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: /html/body/modal-container/div/div/app-memo-submit-confirm/div[3]/div/div[2]/button
15:39:42.376 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:39:57.417 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7666b052c2a4151e572d1e7b83acfcce)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
15:39:58.176 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (7666b052c2a4151e572d1e7b83acfcce)] -> xpath: //span[normalize-space()='Create Memo']]
15:40:01.394 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:41:08.017 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:41:23.110 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (866604027f694b25b157165f88f6a863)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
15:41:23.432 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (866604027f694b25b157165f88f6a863)] -> xpath: //span[normalize-space()='Create Memo']]
15:41:26.613 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
