09:43:43.996 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.082 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.186 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.273 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.354 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.418 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.483 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.613 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.667 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.718 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.778 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.830 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.877 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.922 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:44.972 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:45.027 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:45.070 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:45.106 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:45.140 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:43:45.208 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:44:00.253 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:44:15.540 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:44:31.505 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:44:46.555 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c7251bed6cced109f0ca21a9ce36a726)] -> xpath: //button[normalize-space()='Done']]
09:44:47.484 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:45:02.665 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:45:17.775 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:45:32.835 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c7251bed6cced109f0ca21a9ce36a726)] -> xpath: //tbody/tr[1]/td[1]]
09:45:33.151 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:45:48.253 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c7251bed6cced109f0ca21a9ce36a726)] -> xpath: //button[normalize-space()='SAVE']]
09:45:49.082 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:46:04.098 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:46:19.320 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:46:35.249 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:46:50.325 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c7251bed6cced109f0ca21a9ce36a726)] -> xpath: //button[normalize-space()='Done']]
09:46:51.245 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:47:06.415 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:47:21.561 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:47:36.615 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c7251bed6cced109f0ca21a9ce36a726)] -> xpath: //tbody/tr[1]/td[1]]
09:47:36.910 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:47:52.006 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c7251bed6cced109f0ca21a9ce36a726)] -> xpath: //button[normalize-space()='SAVE']]
09:47:52.758 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:48:07.807 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:48:22.938 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:48:38.163 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: //button[normalize-space()='SUBMIT MEMO']
09:48:38.192 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (c7251bed6cced109f0ca21a9ce36a726)] -> xpath: //button[normalize-space()='SUBMIT MEMO']]
09:53:36.275 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
09:53:51.325 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9f0170922bd7d18adb8d69a5e27cdf91)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
09:53:51.622 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (9f0170922bd7d18adb8d69a5e27cdf91)] -> xpath: //span[normalize-space()='Create Memo']]
09:53:52.576 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
09:53:52.683 [main] ERROR com.billhub.qa.base.TestBase - FileNotFoundException: C:\Users\SURAJ PATEL\OneDrive\Desktop\BillHubTestAutomation\src\main\java\com\billhub\qa\testdata\BillHubTestdata.xlsx (The process cannot access the file because it is being used by another process)
