16:43:56.130 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: model-container
16:44:16.241 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a2588850ed12c7c01dedff5317c40d41)] -> xpath: //button[@class='btn btn-link']]
16:44:16.346 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a2588850ed12c7c01dedff5317c40d41)] -> xpath: //span[normalize-space()='Dashboard']]
16:44:16.977 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
16:44:37.062 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a2588850ed12c7c01dedff5317c40d41)] -> xpath: //*[@id="sidebar"]/div[1]/perfect-scrollbar/div/div[1]/div[2]/ul/li[3]/a]
16:44:37.147 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (a2588850ed12c7c01dedff5317c40d41)] -> xpath: //a[normalize-space()='Review Invoice Posting']]
16:44:44.872 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: /html/body/app-root/app-layout/div[1]/main/div/div/app-search-batch/div/div/div[1]/div[2]/div/div/typeahead-container/button/span/strong
16:53:38.728 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
16:53:58.842 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (d8014368de6aca10c78c61e998249725)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
16:53:59.203 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (d8014368de6aca10c78c61e998249725)] -> xpath: //span[normalize-space()='Create Memo']]
16:54:03.936 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
16:54:04.134 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
16:54:04.997 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
16:54:06.757 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (d8014368de6aca10c78c61e998249725)] -> xpath: //button[normalize-space()='Done']]
