11:46:35.498 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:35.555 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //*[@id="main"]/main/div/div/app-dashboard/div/div[1]/div[2]/button[2]]
11:46:35.889 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //span[normalize-space()='Create Memo']]
11:46:36.804 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:37.548 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:38.133 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: /html/body/modal-container/div/div/app-add-po-popup/div[2]/div[2]/div[1]/table/tbody/tr[1]/td[1]/div/input]
11:46:38.306 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:38.949 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.cssSelector: .btn.btn-warning.btn-acknowledge
11:46:43.579 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> css selector: .btn.btn-warning.btn-acknowledge]
11:46:43.680 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:50.844 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:51.720 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:52.300 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //button[normalize-space()='Done']]
11:46:52.415 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //button[normalize-space()='SAVE']]
11:46:53.222 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:54.370 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:55.110 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: //button[@type='submit']
11:46:55.139 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //button[@type='submit']]
11:46:55.542 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: /html/body/modal-container/div/div/app-memo-submit-confirm/div[3]/div/div[2]/button
11:46:56.112 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: /html/body/modal-container/div/div/app-memo-submit-confirm/div[3]/div/div[2]/button]
11:46:56.177 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:57.677 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
11:46:59.318 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (b81d04133228f39fb48370eac7171937)] -> xpath: //*[@id="main"]/main/div/div/app-dashboard/div/div[1]/div[2]/button[2]]
