19:51:07.332 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
19:52:29.998 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (39fbbf772ff9a46246add5fc916e15b9)] -> xpath: //button[@class='btn btn-link']]
19:52:30.558 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (39fbbf772ff9a46246add5fc916e15b9)] -> xpath: //span[normalize-space()='Dashboard']]
19:52:36.547 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
19:52:37.307 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
19:53:02.488 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element visibility: By.xpath: /html/body/app-root/app-layout/div[1]/main/div/div/app-dashboard/div/div[1]/div[2]/div/typeahead-container/button
19:53:04.615 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (39fbbf772ff9a46246add5fc916e15b9)] -> xpath: //span[normalize-space()='Dashboard']]
19:53:04.768 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
19:53:06.206 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (39fbbf772ff9a46246add5fc916e15b9)] -> xpath: //span[normalize-space()='Dashboard']]
19:53:06.359 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
19:53:06.398 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (39fbbf772ff9a46246add5fc916e15b9)] -> xpath: //*[@id="sidebar"]/div[1]/perfect-scrollbar/div/div[1]/div[2]/ul/li[3]/a]
19:53:06.507 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (39fbbf772ff9a46246add5fc916e15b9)] -> xpath: //a[normalize-space()='Approve invoice for Booking']]
19:53:07.163 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader
19:53:28.387 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (39fbbf772ff9a46246add5fc916e15b9)] -> xpath: //*[@id="sidebar"]/div[1]/perfect-scrollbar/div/div[1]/div[2]/ul/li[3]/a]
19:53:28.774 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (39fbbf772ff9a46246add5fc916e15b9)] -> xpath: //a[normalize-space()='Review Invoice Posting']]
07:41:10.401 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: model-container
07:41:44.589 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-primary ng-star-inserted']'
